Age	upper_confidence	lower_confidence	Source
92	93.7	90.3	Source_1
264.9	268.9	260.9	Source_1
276.5	281.6	271.4	Source_1
288.1	292.6	283.6	Source_1
50.13	50.89	49.37	Source_1
50.6	52.3	48.9	Source_1
50.8	52.3	49.3	Source_1
52.28	52.93	51.63	Source_1
53.3	54.3	52.3	Source_1
54.69	55.38	54	Source_1
55.05	56.1	54	Source_1
55.34	55.94	54.74	Source_1
55.52	55.86	55.18	Source_1
55.9	56.19	55.61	Source_1
56.8	57.52	56.08	Source_1
57.04	57.367	56.713	Source_1
58.1	59	57.2	Source_1
62.85	63.14	62.56	Source_1
63.97	64.62	63.32	Source_1
179.8	183.1	176.5	Source_1
183.3	186.3	180.3	Source_1
51.57	52.87	50.27	Source_1
1513	1548	1478	Source_1
456	516	396	Source_1
1374	1387	1361	Source_1
1145	1159	1131	Source_1
991	1003	979	Source_1
449.3	451.8	446.8	Source_2
434.2	438.6	429.8	Source_2
454	464	444	Source_2
211.2	212.4	210	Source_2
452.6	455.3	449.9	Source_2
202	203.6	200.4	Source_2
471.8	475.8	467.8	Source_2
449.7	454.1	445.3	Source_2
237.1	238.5	235.7	Source_2
488.2	492.5	483.9	Source_2
488.5	495	482	Source_2
414.5	418.4	410.6	Source_2
472.3	475.7	468.9	Source_2
454.8	459	450.6	Source_2
213.2	214.9	211.5	Source_2
454.5	457.6	451.4	Source_2
466.8	469.3	464.3	Source_2
447.9	449.7	446.1	Source_2
243.5	246.9	240.1	Source_2
450.4	452.9	447.9	Source_2
453.1	454.9	451.3	Source_2
445.2	449.1	441.3	Source_2
167	176.4	157.6	Source_5
456	465.7	446.3	Source_5
1311	1337	1285	Source_5
870	895	845	Source_5
47.3	48.2	46.4	Source_5
49	50	48	Source_5
50.7	51.7	49.7	Source_5
916	935	897	Source_5
1165	1182	1148	Source_5
1529	1572	1486	Source_5
1342	1367	1317	Source_5
1236	1252	1220	Source_5
247.6	251.7	243.5	Source_5
245.6	249.5	241.7	Source_5
533	563.9	502.1	Source_5
357	385.1	328.9	Source_5
1248	1284.6	1211.4	Source_5
1042	1109	975	Source_5
1859	1914.6	1803.4	Source_5
184	184.7	183.3	Source_5
184	184.8	183.2	Source_5
181.7	182.7	180.7	Source_5
1028.7	1033.1	1024.3	Source_5
8.4	8.6	8.2	Source_3
9	9.2	8.8	Source_3
10.1	10.3	9.9	Source_3
10.2	10.4	10	Source_3
10.9	11.1	10.7	Source_3
173.9	176.5	171.3	Source_3
179	181.2	176.8	Source_3
182.6	185.8	179.4	Source_3
183.1	186.5	179.7	Source_3
195.8	197.3	194.3	Source_3
196	197.1	194.9	Source_3
196.7	199.6	193.8	Source_3
198	198.8	197.2	Source_3
198.3	200.1	196.5	Source_3
198.4	200.9	195.9	Source_3
198.7	201.3	196.1	Source_3
199	201.5	196.5	Source_3
199.1	201.6	196.6	Source_3
199.1	200.4	197.8	Source_3
199.2	202	196.4	Source_3
199.8	201	198.6	Source_3
200	201.5	198.5	Source_3
200.4	201.1	199.7	Source_3
201	201.9	200.1	Source_3
201.1	202.5	199.7	Source_3
202.2	207.5	196.9	Source_3
202.2	203.2	201.2	Source_3
204.3	207	201.6	Source_3
205	210	200	Source_3
208.8	210	207.6	Source_3
209.2	212.6	205.8	Source_3
210	210	210	Source_3
210.6	214.1	207.1	Source_3
